nodeID,in,out
3561,14925,14925
3562,0,1960
3563,3960,3952
3564,16331,14194
3565,3933,1931
3570,2042,2110
3571,0,2054
3572,2021,1979
3574,0,2032
3578,6128,6126
3579,2057,2017
358,5997,3953
3581,12000,13973
3583,0,0
3584,42062,37916
3585,4057,1962
3589,0,2027
3590,0,1969
3591,4062,2015
3593,0,2117
3594,21778,22591
3595,0,1961
3599,8035,7963
36,8138,4066
3604,0,2100
3606,9923,9923
3609,2018,2024
361,10081,8042
3610,8103,8179
3611,0,2069
3612,0,7833
3614,4021,6138
3615,8081,2015
3616,62382,68279
3618,2001,2067
3619,824,0
3621,8193,10207
3624,4077,4046
3625,0,2006
3626,8158,10189
3629,12085,14121
3630,12108,14096
3631,9969,11886
3634,10095,12138
364,21815,21699
3640,6108,6070
3641,0,4024
3644,8163,8163
3645,4011,2047
3646,4068,4069
3649,4097,6129
365,6052,6068
3650,0,0
3651,14198,14198
3652,0,0
3653,2030,4026
3654,2015,3986
3656,8024,8046
3657,0,2041
3658,4050,4010
366,4001,4001
3663,2011,2008
3665,0,2003
3666,0,0
3668,2027,1946
