src,dest,send_count,send_count2,total
392,4994,2682.0,0.0,2682
393,1536,3580.0,0.0,3580
393,2125,0.0,2675.0,2675
394,1123,903.0,0.0,903
395,4481,0.0,2715.0,2715
395,4606,3591.0,0.0,3591
396,489,0.0,889.0,889
396,4019,2652.0,0.0,2652
396,4066,0.0,890.0,890
397,1596,3502.0,0.0,3502
397,4325,0.0,2616.0,2616
398,3580,924.0,0.0,924
399,3354,912.0,0.0,912
400,1345,0.0,1773.0,1773
400,2162,0.0,899.0,899
400,4190,0.0,6348.0,6348
400,4256,10820.0,0.0,10820
400,4282,0.0,893.0,893
401,4942,884.0,0.0,884
402,3222,1789.0,0.0,1789
402,4657,0.0,887.0,887
403,984,4490.0,0.0,4490
403,2230,0.0,3623.0,3623
404,1659,850.0,0.0,850
405,444,1771.0,0.0,1771
405,5079,0.0,900.0,900
406,2163,1780.0,0.0,1780
406,5204,0.0,891.0,891
407,558,2706.0,0.0,2706
407,4674,0.0,1803.0,1803
408,1459,1816.0,0.0,1816
408,2734,0.0,916.0,916
409,4915,908.0,0.0,908
410,4144,1823.0,0.0,1823
410,5068,0.0,914.0,914
411,146,0.0,7143.0,7143
411,1260,10624.0,0.0,10624
411,4862,0.0,2679.0,2679
412,3831,921.0,0.0,921
413,4211,815.0,0.0,815
414,539,891.0,0.0,891
415,1055,0.0,1790.0,1790
415,4588,2691.0,0.0,2691
416,4730,3623.0,0.0,3623
416,4896,0.0,2739.0,2739
417,3085,809.0,0.0,809
418,1229,0.0,3567.0,3567
418,1342,4461.0,0.0,4461
